Season-Episode,painting_title,colors,color_hex,youtube_src
S01E01,A Walk in the Woods,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15,https://www.youtube.com/embed/oh5p5f5_-7A
S01E02,Mt McKinley,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15,https://www.youtube.com/embed/RInDWhYceLU
S01E03,Ebony Sunset,Alizarin Crimson | Black Gesso | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #000000 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15,https://www.youtube.com/embed/UOziR7PoVco
S01E04,Winter Mist,Prussian Blue | Titanium White | Van Dyke Brown,#021E44 | #FFFFFF | #221B15,https://www.youtube.com/embed/0pwoixRikn4
S01E05,Quiet Stream,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15,https://www.youtube.com/embed/DFSIQNjKRfk
S01E06,Winter Moon,Black Gesso | Prussian Blue | Titanium White | Van Dyke Brown,#000000 | #021E44 | #FFFFFF | #221B15,https://www.youtube.com/embed/loAzRUzx1wI
S01E07,Autumn Mountain,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15,https://www.youtube.com/embed/sDdpc8uisD0
S01E08,Peaceful Valley,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15,https://www.youtube.com/embed/kQlFwTOkYzg
S01E09,Seascape,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15,https://www.youtube.com/embed/QxcS7p1VHyQ
S01E10,Mountain Lake,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15,https://www.youtube.com/embed/wDnLlywAL5I
S01E11,Winter Glow,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15,https://www.youtube.com/embed/Q03YvknOVe0
S01E12,Snow Fall,Alizarin Crimson | Prussian Blue | Titanium White | Van Dyke Brown,#4E1500 | #021E44 | #FFFFFF | #221B15,https://www.youtube.com/embed/4E35-8x_y04
S01E13,Final Reflections,Alizarin Crimson | Bright Red | Cadmium Yellow | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15,https://www.youtube.com/embed/IEQWfszfRlA
S02E01,Meadow Lake,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/GARWowi0QXI
S02E02,Winter Sun,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/VPfYRj4DDco
S02E03,Ebony Sea,Alizarin Crimson | Black Gesso | Bright Red | Burnt Umber | Cadmium Yellow | Indian Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #8A3324 | #FFEC00 | #FFB800 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/aOJsKNzO3i8
S02E04,Shades of Grey,Prussian Blue | Titanium White | Van Dyke Brown,#021E44 | #FFFFFF | #221B15,https://www.youtube.com/embed/I-ousb8-SD0
S02E05,Autumn Splendor,Alizarin Crimson | Bright Red | Burnt Umber | Cadmium Yellow | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #8A3324 | #FFEC00 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/rTTWw5Gd79I
