Season-Episode,title,air_date,youtube_src
S01E01,A Walk in the Woods, 1983-01-04,https://www.youtube.com/embed/oh5p5f5_-7A
S01E02,Mount McKinley,1983-01-11,https://www.youtube.com/embed/RInDWhYceLU
S01E03,Ebony Sunset,1983-01-18,https://www.youtube.com/embed/UOziR7PoVco
S01E04,Winter Mist,1983-01-25,https://www.youtube.com/embed/0pwoixRikn4
S01E05,Quiet Stream,1983-02-01,https://www.youtube.com/embed/DFSIQNjKRfk
S01E06,Winter Moon,1983-02-08,https://www.youtube.com/embed/loAzRUzx1wI
S01E07,Autumn Mountains,1983-02-15,https://www.youtube.com/embed/sDdpc8uisD0
S01E08,Peaceful Valley,1983-02-22,https://www.youtube.com/embed/kQlFwTOkYzg
S01E09,Seascape,1983-03-01,https://www.youtube.com/embed/QxcS7p1VHyQ
S01E10,Mountain Lake,1983-03-08,https://www.youtube.com/embed/wDnLlywAL5I
S01E11,Winter Glow,1983-03-15,https://www.youtube.com/embed/Q03YvknOVe0
S01E12,Snowfall,1983-03-22,https://www.youtube.com/embed/4E35-8x_y04
S01E13,Final Reflections,1983-03-29,https://www.youtube.com/embed/IEQWfszfRlA
S02E01,Meadow Lake,1983-08-31,https://www.youtube.com/embed/GARWowi0QXI
S02E02,Winter Sun,1983-09-07,https://www.youtube.com/embed/VPfYRj4DDco
S02E03,Ebony Sea,1983-09-14,https://www.youtube.com/embed/aOJsKNzO3i8
S02E04,Shades of Gray,1983-09-21,https://www.youtube.com/embed/I-ousb8-SD0
S02E05,Autumn Splendor,1983-09-28,https://www.youtube.com/embed/rTTWw5Gd79I
S02E06,Black River,1983-10-05,https://www.youtube.com/embed/6O4sfJd8G_M
S02E07,Brown Mountain,1983-10-12,https://www.youtube.com/embed/Vx6v47gHBWM
S02E08,Reflections,1983-10-19,https://www.youtube.com/embed/0FYfo94qefg
S02E09,Black & White Seascape,1983-10-26,https://www.youtube.com/embed/PMDyPrE0puo
S02E10,Lazy River,1983-11-02,https://www.youtube.com/embed/BW2wKKFvH1g
S02E11,Black Waterfall,1983-11-09,https://www.youtube.com/embed/GzSqjyQUPZQ
S02E12,Mountain Waterfall,1983-11-16,https://www.youtube.com/embed/9jIt95PCFAA
S02E13,Final Grace,1983-11-23,https://www.youtube.com/embed/miJ19Kz_i3Y
S03E01,Mountain Retreat,1984-01-04,https://www.youtube.com/embed/hoimk4s8JoQ
S03E02,Blue Moon,1984-01-11,https://www.youtube.com/embed/loit61vLUMc
S03E03,Bubbling Stream,1984-01-18,https://www.youtube.com/embed/fuFalEXVN0k
S03E04,Winter Night,1984-01-25,https://www.youtube.com/embed/8ysFkNYwhAE
S03E05,Distant Hills,1984-02-01,https://www.youtube.com/embed/8Zge88tVwjE
S03E06,Covered Bridge,1984-02-08,https://www.youtube.com/embed/OHSm8kLE7js
S03E07,Quiet Inlet,1984-02-15,https://www.youtube.com/embed/9N5IWKzYIyU
S03E08,Night Light,1984-02-22,https://www.youtube.com/embed/l141Y0x8om0
S03E09,The Old Mill,1984-03-01,https://www.youtube.com/embed/OFKFUJ9eDNs
S03E10,Campfire,1984-03-08,https://www.youtube.com/embed/L5bXkI0-pEg
S03E11,Rustic Barn,1984-03-15,https://www.youtube.com/embed/WJJwrnFhUUg
S03E12,Hidden Lake,1984-03-22,https://www.youtube.com/embed/P_DaqkFbnac
